input_name,host,registrable_domain,classification,classification_reason,delegation_status,delegation_reason,host_resolution_status,host_resolution_reason,ip_location_status,ip_location_reason,ip_location_policy_status,ip_location_policy_reason,ip_location_provider,source_id,source_input_label,source_ids,source_input_labels
lequgo.com,lequgo.com,lequgo.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lerist.dev,lerist.dev,lerist.dev,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lersang.com,lersang.com,lersang.com,manual_filtered_out,manual_filter_out entry was not present in any configured source,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out_not_in_sources,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out_not_in_sources""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt""]"
leshi123.com,leshi123.com,leshi123.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
leshow.com,leshow.com,leshow.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
leslie-cheung.com,leslie-cheung.com,leslie-cheung.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lesou.net,lesou.net,lesou.net,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lespark.us,lespark.us,lespark.us,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
lesports.com,lesports.com,lesports.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
less-bug.com,less-bug.com,less-bug.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
letao.com,letao.com,letao.com,manual_filtered_out,host was explicitly sent to review by manual_filter_out,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,manual_filter_out,/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt,"[""manual_filter_out"", ""direct""]","[""/home/runner/work/niamodretlif/niamodretlif/input/manual_filter_out/direct.txt"", ""https://is.gd/43bKSw""]"
